Profitability, Selfish Network Delay , Honest Network Delay
0.02, 1, 0.0104604
0.04, 1, 0.0227798
0.06, 1, 0.0390664
0.08, 1, 0.0601789
0.1, 1, 0.0754728
0.12, 1,  0.0997617
0.14, 1, 0.111632
0.16, 1, 0.139422
0.18, 1, 0.159184
0.2, 1, 0.184863
0.22, 1, 0.207974
0.24, 1, 0.249085
0.26, 1, 0.260722
0.28, 1, 0.302604
0.3, 1, 0.320938
0.32, 1, 0.365553
0.34, 1, 0.401633
0.36, 1, 0.453395
0.38, 1, 0.502327
0.4, 1, 0.549927
0.42, 1, 0.568927
0.44, 1, 0.664176
0.46, 1, 0.716968
0.48, 1, 0.838607
0.5, 1, 0.997711
