Selfish Miner Profit, Block Vakue
0.524251, 2499965784
0.542865, 2500053763
0.549828, 2499976872
0.529755, 2500010037
0.532415, 2500006394
0.52827, 2500016843
0.518842, 2500046795
0.534453, 2499866380
0.520168, 2500100769
0.53329, 2499997480
0.539811, 2499996312
0.524304, 2499957086
0.538197, 2499929883
0.530344, 2500040298
0.52404, 2500014258
0.511981, 2499942455
0.566093, 2500083668
0.535878, 2500000514
0.533207, 2499969651
0.516308, 2500079821
0.505344, 2499951411
0.52069, 2499921520
0.536712, 2500070913
0.542593, 2499900316
0.526113, 2499944161
0.535482, 2499972132
0.526362, 2500047053
0.542, 2499989056
0.538954, 2499962693
0.524335, 2499995876
0.532945, 2500007894
0.523522, 2500066388
0.541707, 2500006348
0.535041, 2499907377
0.520224, 2500037098
0.52871, 2499997867
0.522591, 2500038794
0.526144, 2499857170
0.538122, 2499970989
0.540005, 2500080159
0.522591, 2500062064
0.544259, 2499971926
0.536492, 2499964783
0.54281, 2499954111
0.543403, 2500017873
0.549286, 2499983128
0.524255, 2500034878
0.536937, 2500066115
0.538292, 2499917150
0.523939, 2499964086
0.551378, 2500123532
0.530424, 2499959979
0.526863, 2499992236
0.52975, 2500013305
0.535831, 2500101952
0.535475, 2500025001
0.531978, 2499992282
0.532567, 2499940009
0.548338, 2499947185
0.546047, 2499959290
0.523886, 2500000412
0.530227, 2500010978
0.534404, 2500041413
0.534526, 2499928969
0.509691, 2500024805
0.525018, 2499958487
0.521089, 2499909651
0.530697, 2500041625
0.523881, 2499987205
0.523326, 2499915704
0.541783, 2500024757
0.524872, 2500078845
0.559036, 2499988371
0.537451, 2499928110
0.549129, 2500037740
0.528961, 2500040699
0.549157, 2500032411
0.527389, 2499940896
0.539668, 2499979803
0.535207, 2500007286
0.539292, 2500037264
0.537052, 2500001645
0.546601, 2500013538
0.527899, 2499959340
0.536765, 2500009107
0.532066, 2499971263
0.522097, 2499992777
0.538482, 2500074645
0.568947, 2499947954
0.540651, 2499972630
0.519829, 2500063384
0.519128, 2499998168
0.516551, 2499924069
0.532754, 2499994754
0.520294, 2499991079
0.535934, 2500078201
0.531023, 2499978483
0.532243, 2499899620
0.516884, 2500029601
0.514889, 2500009563
0.529969, 2500035451
0.535865, 2499986258
0.512802, 2500027323
0.549463, 2499945401
0.547338, 2500006050
0.547244, 2500003756
0.526009, 2500062209
0.554922, 2500003554
0.535777, 2500039353
0.536808, 2499907664
0.542245, 2499892553
0.547553, 2500050123
0.531767, 2500050854
0.542685, 2499952085
0.515554, 2499984151
0.535641, 2500010701
0.511594, 2500018661
0.547537, 2499965252
0.5479, 2499960357
0.549679, 2499908324
0.529855, 2499989190
0.550226, 2499989508
0.538046, 2500089194
0.528643, 2500008895
0.528437, 2500008373
0.518557, 2500010270
0.524888, 2500087971
0.531807, 2500041900
0.536776, 2500075018
0.531706, 2499951003
0.535326, 2499946335
0.537652, 2500070671
0.541711, 2499991673
0.536453, 2500038057
0.533195, 2499909810
0.544282, 2500058631
0.543277, 2500022451
0.529928, 2499942957
0.52128, 2500044740
0.532454, 2500020877
0.544473, 2500086331
0.535637, 2500006052
0.543844, 2499945546
0.518252, 2499969350
0.555928, 2500032861
0.515044, 2500009767
