Selfish Miner Profit, Selfish Miner Cost
0.0909091, 1
0.0924181, 1
0.0924102, 1
0.0976401, 1
0.094785, 1
0.0926163, 1
0.0949418, 1
0.0938866, 2
0.0997211, 2
0.0959005, 2
0.0965294, 2
0.101086, 3
0.100603, 3
0.0910971, 3
0.095524, 4
0.0926884, 4
0.0928782, 5
0.0949605, 5
0.0980212, 6
0.0967943, 6
0.0929213, 7
0.0964086, 8
0.095131, 8
0.0930704, 9
0.0925424, 10
0.0900875, 11
0.0920748, 13
0.0984687, 14
0.0896187, 15
0.0950896, 17
0.0991356, 19
0.0922847, 21
0.0948387, 23
0.0899514, 25
0.0966763, 28
0.0936463, 30
0.0887735, 34
0.088557, 37
0.0930836, 41
0.0926157, 45
0.089607, 49
0.0943106, 54
0.082981, 60
0.0914056, 66
0.0875939, 72
0.0910662, 80
0.0973286, 88
0.092918, 97
0.0959092, 106
0.0886073, 117
0.0978428, 129
0.0913256, 142
0.092316, 156
0.0900033, 171
0.0943782, 189
0.0880008, 207
0.0926713, 228
0.0931861, 251
0.0965092, 276
0.0968376, 304
0.0891294, 334
0.0968641, 368
0.094029, 405
0.0965475, 445
0.0917209, 490
0.10055, 539
0.0921155, 593
0.0881751, 652
0.0991516, 717
0.0984914, 789
0.0941636, 868
0.0905013, 955
0.0969267, 1051
0.0906234, 1156
0.0967322, 1271
0.0912655, 1399
0.0971754, 1538
0.0946311, 1692
0.0893319, 1862
0.0961594, 2048
0.0946394, 2253
0.0970433, 2478
0.0902402, 2726
0.0920993, 2999
0.091896, 3298
0.0951676, 3628
0.0931164, 3991
0.0950702, 4390
0.0920479, 4830
0.0896702, 5313
0.0915996, 5844
0.0939771, 6428
0.0995155, 7071
0.0933889, 7778
0.0902836, 8556
0.0912478, 9412
0.0945671, 10353
0.0877614, 11388
0.0977927, 12527
0.0856038, 13780
0.0920298, 15158
0.0875629, 16674
0.0953002, 18341
0.0934472, 20176
0.0841431, 22193
0.0865922, 24413
0.0845251, 26854
0.0893811, 29539
0.0811144, 32493
0.0895192, 35743
0.081972, 39317
0.0880277, 43249
0.0753513, 47574
0.0791457, 52331
0.0811041, 57565
0.0825228, 63321
0.0829774, 69653
0.0760942, 76619
0.0697603, 84280
0.0721785, 92709
0.0719845, 101979
0.0687756, 112177
0.0659091, 123395
0.0561352, 135735
0.0623181, 149308
0.0566948, 164239
0.0574215, 180663
0.0450309, 198730
0.0484931, 218603
0.0380815, 240463
0.0269369, 264509
0.0268582, 290960
0.0226981, 320056
0.0106484, 352062
0.000931399, 387268
-0.00269514, 425995
