Selfish Miner Profit, Selfish Miner Cost/Sec, Selfish Miner Avg Cost Per Block
0.523763, 1, 600.031
0.530636, 1, 600.037
0.523803, 1, 600.027
0.524798, 1, 600.01
0.531176, 1, 600.044
0.526903, 1, 600.027
0.533176, 1, 600.019
0.536136, 2, 1200.06
0.539004, 2, 1200.05
0.536671, 2, 1200.15
0.563279, 2, 1200.13
0.515554, 3, 1800.01
0.531217, 3, 1800.21
0.547734, 3, 1800.07
0.544943, 4, 2400.02
0.540132, 4, 2400.23
0.531149, 5, 3000.07
0.52929, 5, 3000.07
0.526509, 6, 3600.6
0.540665, 6, 3600.46
0.533949, 7, 4200.74
0.532115, 8, 4800.07
0.524654, 8, 4800.17
0.53694, 9, 5400.76
0.519059, 10, 6000.3
0.542247, 11, 6600.47
0.546356, 13, 7800.08
0.52394, 14, 8400.4
0.538419, 15, 9000.36
0.543433, 17, 10200.8
0.547791, 19, 11400.6
0.530241, 21, 12600.2
0.511275, 23, 13801.4
0.523118, 25, 15000.3
0.545689, 28, 16800.6
0.524015, 30, 18000.2
0.534433, 34, 20400.8
0.535359, 37, 22204.2
0.528106, 41, 24601.6
0.543374, 45, 27000.3
0.530119, 49, 29400.2
0.544327, 54, 32402.3
0.54401, 60, 36000.4
0.530313, 66, 39602.7
0.534378, 72, 43200.9
0.529659, 80, 48007.6
0.536235, 88, 52800.5
0.534793, 97, 58200
0.539538, 106, 63609
0.52042, 117, 70204.6
0.527563, 129, 77406.3
0.540225, 142, 85204.5
0.543867, 156, 93602.9
0.550768, 171, 102608
0.516104, 189, 113402
0.528165, 207, 124217
0.518511, 228, 136804
0.539666, 251, 150605
0.56347, 276, 165601
0.528827, 304, 182408
0.538703, 334, 200415
0.529039, 368, 220801
0.546186, 405, 243048
0.538833, 445, 267005
0.515846, 490, 294027
0.529079, 539, 323402
0.521033, 593, 355856
0.544796, 652, 391346
0.530719, 717, 430222
0.522997, 789, 473440
0.529711, 868, 520818
0.517906, 955, 573018
0.508448, 1051, 630625
0.554183, 1156, 693624
0.538727, 1271, 762623
0.534979, 1399, 839427
0.533672, 1538, 922816
0.530102, 1692, 1.01525e+06
0.523292, 1862, 1.11732e+06
0.541085, 2048, 1.22895e+06
0.529217, 2253, 1.35189e+06
0.542748, 2478, 1.4868e+06
0.535935, 2726, 1.63577e+06
0.549539, 2999, 1.79943e+06
0.539188, 3298, 1.97891e+06
0.54018, 3628, 2.17713e+06
0.543662, 3991, 2.39468e+06
0.531499, 4390, 2.63438e+06
0.521132, 4830, 2.89801e+06
0.523912, 5313, 3.1879e+06
0.530718, 5844, 3.50641e+06
0.527383, 6428, 3.85696e+06
0.523256, 7071, 4.24282e+06
0.52859, 7778, 4.66707e+06
0.541798, 8556, 5.13372e+06
0.536509, 9412, 5.64729e+06
0.52647, 10353, 6.21287e+06
0.542364, 11388, 6.83292e+06
0.534559, 12527, 7.51621e+06
0.537636, 13780, 8.2691e+06
0.51817, 15158, 9.09496e+06
0.51554, 16674, 1.00044e+07
0.539837, 18341, 1.10087e+07
0.537787, 20176, 1.2106e+07
0.511657, 22193, 1.33171e+07
0.531053, 24413, 1.46488e+07
0.525349, 26854, 1.61129e+07
0.520941, 29539, 1.77235e+07
0.537803, 32493, 1.94961e+07
0.520265, 35743, 2.14458e+07
0.535583, 39317, 2.35905e+07
0.526622, 43249, 2.59501e+07
0.529974, 47574, 2.85466e+07
0.523164, 52331, 3.13991e+07
0.530508, 57565, 3.45406e+07
0.504238, 63321, 3.79931e+07
0.519822, 69653, 4.1794e+07
0.497671, 76619, 4.59754e+07
0.513342, 84280, 5.05702e+07
0.523612, 92709, 5.5628e+07
0.518055, 101979, 6.1188e+07
0.518625, 112177, 6.73082e+07
0.509917, 123395, 7.40496e+07
0.502525, 135735, 8.14428e+07
0.493151, 149308, 8.95878e+07
0.504374, 164239, 9.85586e+07
0.510308, 180663, 1.08402e+08
0.471589, 198730, 1.19251e+08
0.488077, 218603, 1.31162e+08
0.483004, 240463, 1.44285e+08
0.477887, 264509, 1.58735e+08
0.456812, 290960, 1.74598e+08
0.463283, 320056, 1.92056e+08
0.458229, 352062, 2.11253e+08
0.431788, 387268, 2.32374e+08
0.439754, 425995, 2.55598e+08
0.436113, 468595, 2.81184e+08
0.417098, 515454, 3.0928e+08
0.400314, 567000, 3.40206e+08
0.38181, 623700, 3.74233e+08
0.372067, 686070, 4.11646e+08
0.347609, 754677, 4.52834e+08
0.31414, 830145, 4.98131e+08
0.313569, 913159, 5.47901e+08
0.286315, 1004475, 6.02695e+08
0.253354, 1104923, 6.62964e+08
0.252731, 1215415, 7.29284e+08
0.209155, 1336956, 8.022e+08
0.19548, 1470652, 8.82467e+08
0.141827, 1617717, 9.70635e+08
0.101259, 1779489, 1.06771e+09
0.0503881, 1957438, 1.17465e+09
0.00889904, 2153182, 1.29198e+09
-0.0460069, 2368500, 1.42112e+09
