Classic Selfish Miner Profit, Classic Selfish Miner Alpha, Clever Selfish Miner Profit, Clever Selfish Miner Alpha, honest Profitability
0, 0, 0.99691, 0.5,0.0030902
0.0032538, 0.02, 0.829434, 0.48,0.167312
0.00814395, 0.04, 0.783077, 0.46,0.208779
0.0194, 0.06, 0.673437, 0.44,0.307163
0.0357709, 0.08, 0.595904, 0.42,0.368325
0.0502397, 0.1, 0.520571, 0.4,0.429189
0.0748504, 0.12, 0.506713, 0.38,0.418437
0.0891151, 0.14, 0.448481, 0.36,0.462404
0.116258, 0.16, 0.404582, 0.34,0.479161
0.12737, 0.18, 0.397124, 0.32,0.475505
0.165956, 0.2, 0.332907, 0.3,0.501137
0.190737, 0.22, 0.309742, 0.28,0.499521
0.225089, 0.24, 0.27456, 0.26,0.50035
0.250839, 0.26, 0.256268, 0.24,0.492893
0.286246, 0.28, 0.20703, 0.22,0.506724
0.323073, 0.3, 0.189419, 0.2,0.487508
0.342608, 0.32, 0.169345, 0.18,0.488048
0.389461, 0.34, 0.128441, 0.16,0.482097
0.403516, 0.36, 0.121463, 0.14,0.475021
0.478364, 0.38, 0.0860179, 0.12,0.435618
0.507529, 0.4, 0.0740875, 0.1,0.418384
0.592171, 0.42, 0.0488527, 0.08,0.358977
0.624822, 0.44, 0.033716, 0.06,0.341462
0.72105, 0.46, 0.0177601, 0.04,0.26119
0.876313, 0.48, 0.00325682, 0.02,0.120431
0.932643, 0.5, 0, 0,0.0673568
