Selfish Miner Profit, Selfish Miner Network Delay, Honest Miner Network Delay
0.0938826, 1e-11, 0
0.085203, 1e-10, 0
0.0613289, 1e-09, 0
0.0584571, 1e-08, 0
0.0559439, 1e-07, 0
0.0577133, 1e-06, 0
0.0550605, 1e-05, 0
0.0543467, 0.0001, 0
0.0570067, 0.001, 0
0.051505, 0.01, 0
0.0545319, 0.1, 0
0.0590798, 1, 0
0.0525825, 10, 0
0.0446773, 100, 0
0.00685266, 1000, 0
0, 10000, 0
0, 100000, 0
8.04143e-05, 1e+06, 0
3.85819e-05, 1e+07, 0
0, 1e+08, 0
0, 1e+09, 0
0, 1e+10, 0
0, 1e+11, 0
0, 1e+12, 0
0, 1e+13, 0
