Selfish Miner Profit, Selfish Miner Network Delay, Honest Miner Network Delay
0.497781, 1, 0
0.492584, 2, 0
0.468004, 3, 0
0.493317, 4, 0
0.50703, 5, 0
0.481743, 6, 0
0.502332, 7, 0
0.492328, 8, 0
0.504046, 9, 0
0.484591, 10, 0
0.47087, 11, 0
0.490568, 12, 0
0.498105, 13, 0
0.483413, 14, 0
0.47685, 15, 0
0.48209, 16, 0
0.484086, 17, 0
0.467486, 18, 0
0.459855, 19, 0
0.481738, 20, 0
0.489903, 21, 0
0.471319, 22, 0
0.501326, 23, 0
0.4896, 24, 0
0.468112, 25, 0
0.499253, 26, 0
0.492393, 27, 0
0.488959, 28, 0
0.487988, 29, 0
0.481977, 30, 0
0.468141, 31, 0
0.479072, 32, 0
0.480129, 33, 0
0.490816, 34, 0
0.468896, 35, 0
0.455777, 36, 0
0.485272, 37, 0
0.47324, 38, 0
0.477773, 39, 0
0.466936, 40, 0
0.491431, 41, 0
0.501973, 42, 0
0.477489, 43, 0
0.440144, 44, 0
0.469443, 45, 0
0.465308, 46, 0
0.474036, 47, 0
0.465655, 48, 0
0.458326, 49, 0
0.464081, 50, 0
0.467317, 51, 0
0.481389, 52, 0
0.472375, 53, 0
0.48037, 54, 0
0.452086, 55, 0
0.453574, 56, 0
0.455967, 57, 0
0.454762, 58, 0
0.461796, 59, 0
0.448034, 60, 0
0.475265, 61, 0
0.454056, 62, 0
0.471425, 63, 0
0.46968, 64, 0
0.449521, 65, 0
0.460246, 66, 0
0.461805, 67, 0
0.497438, 68, 0
0.441141, 69, 0
0.466101, 70, 0
0.460502, 71, 0
0.471447, 72, 0
0.452681, 73, 0
0.458811, 74, 0
0.43984, 75, 0
0.467224, 76, 0
0.468567, 77, 0
0.441018, 78, 0
0.487342, 79, 0
0.440813, 80, 0
0.442266, 81, 0
0.463318, 82, 0
0.444333, 83, 0
0.446261, 84, 0
0.4271, 85, 0
0.459048, 86, 0
0.423175, 87, 0
0.440904, 88, 0
0.444401, 89, 0
0.434243, 90, 0
0.44017, 91, 0
0.440323, 92, 0
0.440812, 93, 0
0.442611, 94, 0
0.444594, 95, 0
0.43386, 96, 0
0.436255, 97, 0
0.421268, 98, 0
0.439536, 99, 0
0.434255, 100, 0
0.438571, 101, 0
0.445229, 102, 0
0.426791, 103, 0
0.430335, 104, 0
0.46503, 105, 0
0.449538, 106, 0
0.428015, 107, 0
0.44046, 108, 0
0.424787, 109, 0
0.430099, 110, 0
0.411591, 111, 0
0.427267, 112, 0
0.412133, 113, 0
0.411211, 114, 0
0.416598, 115, 0
0.415133, 116, 0
0.403443, 117, 0
0.428635, 118, 0
0.393649, 119, 0
0.439763, 120, 0
