Selfish Miner Profit, Selfish Miner Network Delay, Honest Miner Network Delay
0.211403, 3, 4
0.198148, 4, 2
0.211573, 2, 1
0.202586, 8, 1
0.201943, 4, 3
0.197584, 8, 2
0.211309, 9, 7
0.196657, 4, 3
0.199533, 2, 10
0.204409, 5, 3
0.198877, 6, 1
0.195889, 10, 1
0.206881, 9, 7
0.194973, 4, 2
0.207863, 10, 9
0.212041, 1, 1
0.200682, 5, 2
0.21173, 5, 10
0.19287, 10, 1
0.195674, 1, 7
0.210368, 7, 10
0.203388, 9, 5
0.198496, 10, 8
0.197898, 4, 1
0.205622, 2, 5
0.202582, 3, 3
0.211005, 9, 10
0.210205, 6, 3
0.209342, 5, 9
0.200413, 10, 1
0.197098, 10, 6
0.199926, 8, 3
0.20979, 1, 7
0.1979, 8, 6
0.1932, 6, 1
0.190691, 4, 2
0.194684, 1, 7
0.202605, 5, 2
0.200993, 1, 3
0.193867, 2, 2
0.195871, 10, 3
0.198689, 10, 3
0.192399, 5, 4
0.208124, 9, 3
0.200579, 2, 1
0.201025, 9, 4
0.202391, 6, 1
0.199405, 6, 1
0.188236, 9, 8
0.202734, 9, 8
0.201064, 6, 3
0.194445, 1, 4
0.199463, 3, 9
0.209754, 5, 9
0.205016, 10, 8
0.197605, 8, 7
0.211384, 8, 7
0.211129, 1, 3
0.198389, 1, 6
0.211312, 1, 7
0.196723, 9, 10
0.201768, 8, 8
0.199171, 8, 10
0.204108, 7, 3
0.202196, 1, 7
0.205684, 2, 6
0.211378, 10, 9
0.19703, 6, 1
0.202211, 2, 1
0.202903, 10, 7
0.201415, 4, 5
0.212024, 8, 10
0.212203, 5, 8
0.206431, 1, 5
0.19409, 8, 10
0.199707, 1, 5
0.200308, 1, 6
0.207001, 5, 7
0.208084, 4, 8
0.199961, 3, 7
0.194566, 3, 9
0.207653, 2, 2
0.205076, 1, 7
0.203015, 10, 4
0.196692, 8, 1
0.19907, 4, 4
0.201461, 1, 7
0.207585, 2, 2
0.210558, 7, 1
0.200456, 1, 6
0.204124, 7, 1
0.199798, 3, 2
0.198696, 9, 5
0.200616, 3, 5
0.187587, 10, 5
0.20081, 5, 7
0.197491, 1, 4
0.202727, 5, 5
0.207142, 7, 5
0.202226, 9, 9
0.203191, 9, 8
0.198507, 7, 2
0.210381, 5, 10
0.202503, 2, 4
0.207602, 2, 7
0.191663, 7, 2
0.207376, 3, 9
0.196421, 3, 6
0.201229, 10, 9
0.211017, 3, 7
0.203197, 4, 3
0.203175, 10, 3
0.209983, 4, 9
0.206234, 2, 2
0.20467, 4, 1
0.218821, 3, 5
0.205486, 10, 9
0.19673, 4, 10
0.206573, 4, 6
0.194173, 2, 4
0.202347, 4, 9
0.193869, 3, 4
0.197748, 8, 5
0.21126, 3, 10
0.195414, 4, 7
0.198257, 4, 7
0.202274, 1, 2
0.205604, 4, 1
0.201631, 2, 1
0.211625, 5, 3
0.200776, 8, 1
0.195713, 4, 7
0.207813, 1, 10
0.197073, 7, 9
0.206184, 6, 4
0.199031, 8, 7
0.195883, 5, 3
0.198935, 8, 7
0.198491, 1, 2
0.194587, 9, 10
0.199151, 3, 3
0.199221, 2, 6
0.203605, 4, 1
0.198612, 5, 9
0.201537, 2, 9
0.200022, 10, 10
0.208772, 5, 9
0.19763, 3, 5
0.204552, 9, 2
0.207119, 7, 6
0.218303, 2, 9
0.19611, 7, 2
0.211515, 6, 5
0.208092, 2, 9
0.212291, 3, 7
0.192372, 8, 3
0.198918, 10, 2
0.20334, 3, 10
0.202954, 7, 4
0.189355, 2, 4
0.212749, 9, 5
0.208248, 3, 9
0.210004, 2, 5
0.203929, 4, 7
0.203623, 10, 1
0.200445, 8, 5
0.189626, 9, 1
0.210159, 4, 10
0.208032, 8, 6
0.195729, 4, 9
0.199904, 7, 3
0.192657, 3, 9
0.204327, 6, 4
0.208286, 3, 1
0.20457, 7, 10
0.200787, 2, 9
0.199839, 6, 7
0.203079, 8, 2
0.208328, 3, 3
0.201507, 9, 3
0.196854, 2, 2
0.197834, 5, 2
0.187017, 8, 6
0.199279, 4, 7
0.193276, 7, 6
0.198925, 3, 8
0.194803, 2, 6
0.201121, 8, 10
0.203155, 5, 10
0.19977, 2, 2
0.200015, 1, 3
0.20683, 3, 2
0.21054, 3, 10
0.206434, 2, 6
0.206126, 4, 2
0.200328, 7, 3
0.204162, 3, 7
0.201979, 10, 4
0.194779, 10, 8
0.206617, 9, 9
0.206664, 8, 5
0.199866, 9, 3
0.205632, 5, 4
0.210123, 6, 5
0.196321, 10, 2
0.211499, 3, 4
0.200442, 1, 9
0.202912, 7, 3
0.194985, 10, 4
0.202256, 4, 9
0.211099, 4, 6
0.200737, 8, 3
0.196325, 4, 10
0.204079, 6, 10
0.195575, 2, 5
0.200357, 10, 8
0.203121, 3, 10
0.195665, 9, 6
0.208311, 4, 8
0.199641, 10, 4
0.201499, 4, 6
0.195605, 6, 1
0.196524, 4, 2
0.21459, 2, 10
0.206539, 2, 10
0.211056, 2, 9
0.197585, 8, 3
0.198414, 7, 8
0.201424, 4, 4
0.19882, 6, 5
0.194714, 7, 3
0.203903, 1, 4
0.20146, 10, 2
0.194976, 9, 6
0.211171, 4, 2
0.202678, 9, 2
0.2018, 9, 1
0.198506, 4, 8
0.201221, 1, 9
0.206992, 9, 7
0.211176, 7, 10
0.206946, 4, 7
0.212914, 1, 4
0.200496, 8, 8
0.207427, 3, 7
0.196526, 5, 8
0.204175, 2, 10
0.20154, 8, 1
0.198346, 1, 8
0.209863, 9, 7
0.206098, 6, 2
0.207873, 6, 10
0.204239, 10, 5
0.207688, 1, 10
0.200457, 8, 8
0.205016, 8, 1
0.205548, 3, 5
0.194345, 9, 4
0.198685, 7, 3
0.198166, 8, 4
0.190331, 1, 3
0.197053, 8, 9
0.20384, 3, 6
0.200063, 10, 8
0.199247, 9, 6
0.201651, 10, 6
0.207888, 1, 10
0.212361, 5, 3
0.209239, 9, 10
0.209879, 1, 8
0.189646, 9, 4
0.206951, 2, 9
0.210168, 2, 1
0.196941, 3, 1
0.199977, 5, 6
0.20128, 4, 10
0.201356, 5, 5
0.202529, 1, 7
0.200385, 1, 8
0.198155, 10, 2
0.199043, 8, 4
0.20751, 9, 6
0.201067, 6, 9
0.207057, 2, 6
0.198426, 10, 7
0.202827, 7, 3
0.205918, 5, 2
0.207243, 8, 1
0.205445, 7, 7
0.199133, 1, 7
0.206788, 2, 4
0.209341, 8, 9
0.203076, 5, 6
0.193356, 3, 6
0.20282, 2, 3
0.202404, 3, 5
0.202604, 8, 7
0.206844, 6, 2
0.199094, 5, 8
0.211125, 1, 10
0.190594, 7, 2
0.200785, 1, 8
0.197589, 1, 6
0.205442, 2, 8
0.204397, 4, 9
0.214377, 1, 7
0.207473, 7, 7
0.200729, 10, 2
0.197429, 2, 5
0.204405, 10, 7
0.203713, 5, 8
0.2001, 5, 8
0.209475, 3, 7
0.199285, 3, 1
0.206001, 6, 3
0.203575, 5, 6
0.203403, 6, 8
0.199826, 1, 7
0.198527, 9, 8
0.19062, 9, 5
0.197099, 1, 4
0.202826, 4, 10
0.206146, 9, 5
0.211058, 3, 10
0.208668, 8, 8
0.197517, 1, 4
0.201387, 4, 5
0.207019, 3, 2
0.188421, 7, 3
0.197937, 6, 1
0.20893, 1, 6
0.204121, 3, 1
0.207785, 6, 9
0.20726, 9, 1
0.199353, 4, 6
0.196262, 3, 9
0.209674, 5, 5
0.211542, 3, 10
0.193316, 8, 1
0.202687, 2, 6
0.202708, 9, 6
0.20516, 4, 9
0.211342, 1, 8
0.201434, 8, 8
0.202295, 2, 8
0.201996, 9, 3
0.199602, 7, 7
0.206448, 6, 1
0.203322, 8, 2
0.214621, 6, 10
0.215133, 2, 4
0.189286, 10, 3
0.199512, 8, 10
0.200123, 3, 2
0.203339, 1, 6
0.201312, 5, 10
0.196202, 10, 5
0.209438, 6, 10
0.207255, 3, 5
0.195252, 6, 2
0.20617, 7, 7
0.202536, 8, 7
0.203629, 9, 6
0.195113, 6, 4
0.19875, 4, 8
0.206698, 10, 10
0.208382, 9, 10
0.20846, 5, 10
0.199553, 3, 3
0.19398, 2, 9
0.210101, 1, 9
0.204024, 6, 5
0.200507, 6, 5
0.209063, 6, 2
0.206855, 1, 6
0.206907, 3, 8
0.199821, 3, 4
0.212798, 4, 6
0.191148, 8, 10
0.198711, 6, 8
0.211441, 4, 6
0.202243, 10, 9
0.206813, 8, 3
0.200755, 4, 8
0.202596, 1, 6
0.202113, 5, 9
0.192841, 5, 8
0.206915, 5, 8
0.20654, 7, 7
0.206873, 7, 4
0.197972, 7, 5
0.20572, 8, 5
0.189562, 4, 2
0.193006, 9, 4
0.204162, 8, 5
0.201782, 7, 2
0.202682, 4, 10
0.193146, 7, 9
0.190798, 8, 2
0.209642, 1, 7
0.202461, 1, 10
0.204244, 10, 9
0.206708, 9, 7
0.207581, 1, 7
0.199258, 9, 8
0.205322, 7, 5
0.198628, 6, 3
0.203066, 9, 2
0.208408, 8, 8
0.201796, 1, 7
0.20554, 1, 6
0.204076, 8, 5
0.205071, 8, 1
0.195611, 1, 7
0.207903, 3, 8
0.212342, 3, 2
0.201582, 4, 5
0.212586, 1, 4
0.193772, 4, 2
0.19581, 7, 4
0.196375, 3, 3
0.199818, 5, 6
0.206865, 1, 2
0.204747, 8, 3
0.20324, 4, 7
0.197306, 6, 9
0.199503, 3, 2
0.207024, 7, 6
0.206779, 8, 5
0.202112, 2, 5
0.197544, 8, 1
0.194465, 10, 8
0.202692, 1, 3
0.206312, 4, 10
0.19551, 8, 10
0.206082, 1, 6
0.207554, 9, 3
0.210066, 10, 2
0.199499, 6, 10
0.20361, 3, 7
0.206584, 2, 1
0.208065, 10, 7
0.201889, 7, 7
0.203219, 7, 10
0.188834, 9, 2
0.211335, 7, 4
0.200745, 9, 1
0.204229, 2, 5
0.199231, 9, 5
0.204669, 6, 9
0.20563, 2, 5
0.203058, 7, 7
0.200564, 8, 2
0.202977, 1, 10
0.196019, 3, 3
0.193782, 4, 2
0.19539, 2, 5
0.195658, 6, 6
0.202996, 4, 4
0.188038, 4, 1
0.203851, 2, 10
0.204514, 8, 10
0.199393, 2, 7
0.201403, 3, 7
0.199704, 8, 3
0.205534, 2, 2
0.201508, 2, 2
0.19054, 9, 9
0.189572, 1, 8
0.200537, 5, 9
0.203901, 1, 10
0.199825, 9, 10
0.191179, 7, 5
0.208955, 7, 9
0.192226, 8, 5
0.203709, 3, 8
0.194929, 5, 3
0.200741, 3, 1
0.197916, 5, 2
0.194478, 3, 9
0.195966, 5, 6
0.198846, 4, 4
0.202385, 1, 4
0.196428, 8, 1
0.202255, 4, 3
0.196157, 3, 9
0.20857, 8, 10
0.203167, 3, 10
0.19609, 7, 2
0.197044, 9, 2
0.207412, 9, 10
0.197725, 10, 3
0.19559, 5, 1
0.193183, 3, 5
0.199012, 5, 9
0.20198, 8, 8
0.199753, 6, 6
0.192727, 2, 9
0.201942, 6, 2
0.203778, 9, 3
